parent_molecule_chembl_id,pref_name,smiles,structure_image_url,pchembl_value,standard_type,standard_relation,standard_value,standard_units,role,best_target,targets_hit,n_targets_hit,assay_chembl_id,assay_type,confidence_score,assay_organism,molecule_chembl_id,target_chembl_id,TAG,standard_inchi_key
CHEMBL100195,,CC(C)(C)OC(=O)NCCCC(=O)Nc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL100195.png,7.48,Ki,=,32.9,nM,antagonist,A3R,A3R,1,CHEMBL641516,B,8,,CHEMBL100195,CHEMBL256,A3R,WGFSFQGWINXFDC-UHFFFAOYSA-N
CHEMBL100382,,O=C(CCc1ccccc1)Nc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL100382.png,7.63,Ki,=,23.6,nM,antagonist,A3R,A3R,1,CHEMBL641516,B,8,,CHEMBL100382,CHEMBL256,A3R,PMFILAFCPCLAGX-UHFFFAOYSA-N
CHEMBL100426,,CC(C(=O)Nc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12)(c1ccccc1)c1ccccc1,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL100426.png,6.71,Ki,=,194,nM,antagonist,A3R,A3R,1,CHEMBL641516,B,8,,CHEMBL100426,CHEMBL256,A3R,QESVVQLGDLITOU-UHFFFAOYSA-N
CHEMBL1016,CANDESARTAN,CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL1016.png,6.16,Ki,=,689.5,nM,antagonist,A3R,A3R,1,CHEMBL1909215,B,8,,CHEMBL1016,CHEMBL256,A3R,HTQMVQVXFRQIKW-UHFFFAOYSA-N
CHEMBL101818,,Oc1nc2ccccc2c2cc(-c3cccs3)nn12,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL101818.png,7.4,Ki,=,40,nM,antagonist,A3R,A3R,1,CHEMBL2320338,B,9,Homo sapiens,CHEMBL101818,CHEMBL256,A3R,IUPHGQVUJQDIKN-UHFFFAOYSA-N
CHEMBL102116,,Nc1nc(N/N=C\C2CCCCC2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL102116.png,7.7,Ki,=,20,nM,antagonist,A2AR,A2AR,1,CHEMBL642078,B,8,,CHEMBL102116,CHEMBL251,A2AR,XJFMHMFFBSOEPR-PNHMZMSVSA-N
CHEMBL102429,,CN(C)c1ccc2c(O)cc(-c3ccccc3)nc2n1,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL102429.png,9.2,Ki,=,0.631,nM,antagonist,A1R,A1R,1,CHEMBL920042,B,8,Bos taurus,CHEMBL102429,CHEMBL226,A1R,BEMRWFAUJDRLIY-UHFFFAOYSA-N
CHEMBL102753,,CCOc1ccc2c(=O)cc(-c3ccccc3)n(CC)c2n1,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL102753.png,6.03,Ki,=,930,nM,antagonist,A1R,A1R,1,CHEMBL643493,B,8,,CHEMBL102753,CHEMBL226,A1R,JKRWRMYTHHNAOF-UHFFFAOYSA-N
CHEMBL102859,,CCn1c(=O)c2nc(C3CCCC3)[nH]c2n(CC)c1=O,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL102859.png,8.66,Ki,=,2.2,nM,antagonist,A1R,A1R;A2AR;A2BR,3,CHEMBL4416087,B,9,Homo sapiens,CHEMBL102859,CHEMBL226,A1R,ALAWEPCLEBECQL-UHFFFAOYSA-N
CHEMBL102974,,CCOc1ccc2c(OCC)cc(-c3ccccc3)nc2n1,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL102974.png,6.5,Ki,=,316.23,nM,antagonist,A1R,A1R,1,CHEMBL920042,B,8,Bos taurus,CHEMBL102974,CHEMBL226,A1R,NIZRNYKHWFUXOA-UHFFFAOYSA-N
